Resource,Scientific cluster or domain,Topic,Software quality dimensions,Resource type,Notes,Title,URL,Description,Keywords,Scientific Topics,Resource type(s),Licence,Status,DOI,Version,Authors,Contributors,Target audiences,Prerequisites,Competency level,Learning objectives,Date created,Date modified,Date published,Nodes,External resources
Intermediate Research Software Development (Python),General,,"Flexibility, Maintainability, Sustainability, FAIRness, Reliability","individual training resource (course, handbook, article, guide, tutorial)","DG: Pages where RSQKit should be linked: reproducible_software_environments, using_version_control, testing_software, ci_cd, task_automation_github_actions, releasing_software",Intermediate Research Software Development (Python),https://carpentries-incubator.github.io/python-intermediate-development/,"A core set of established, intermediate-level software development skills and best practices for working as part of a team in a research environment using Python as an example programming language.","programming language, python, intermediate, software engineering, testing, debugging, version control, continuous integration, packaging code, releasing code, integrated development environment, IDE, virtual environment, git, github, good practices, action, CI/CD, automation, reproducible environment",,,,,,,,,,,,,,,,,
Alan Turing Institute - Research Software Engineering with Python,General,,"Functional suitability, Interaction capability, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,Alan Turing Institute - Research Software Engineering with Python,https://alan-turing-institute.github.io/rse-course/html/index.html,"In this course, you will move beyond programming, to learn how to construct reliable, readable, efficient research software in a collaborative environment. The emphasis is on practical techniques, tips, and technologies to effectively build and maintain complex code. This is a relatively short course (8-10 half-day modules) which is intensive and involves hands-on exercises.","research software engineering, programming language, python, collaborative environment",,,,,,,,,,,,,,,,,
"“Good
Enough Practices in Scientific Computing” course",General,,"FAIRness, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,"“Good
Enough Practices in Scientific Computing” course",https://carpentries-lab.github.io/good-enough-practices/index.html,"This lesson is targeted at a broad audience of researchers who want to learn how to be more efficient and effective in their data analysis and computing, whatever their career stage. ",readable code,,,,,,,,,,,,,,,,,
"Five recommendations for FAIR software, by the Netherlands eScience Center and DANS",General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,"Five recommendations for FAIR software, by the Netherlands eScience Center and DANS",https://fair-software.eu/,"Five recommendations for FAIR software, by the Netherlands eScience Center and DANS","fair, version control, license, registry",,,,,,,,,,,,,,,,,
A self-assessment checklist for FAIR research software,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,A self-assessment checklist for FAIR research software,https://fairsoftwarechecklist.net/,A self-assessment checklist for FAIR research software,fair,,,,,,,,,,,,,,,,,
"Open source definition, by the Open Source
Initiative",General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,"Open source definition, by the Open Source
Initiative",https://opensource.org/osd/,,,,,,,,,,,,,,,,,,,
"CodeRefinery:
Reproducible research - preparing code to be usable by you and others in
the future",General,,"FAIRness, Functional suitability, Compatibility","individual training resource (course, handbook, article, guide, tutorial)",,"CodeRefinery:
Reproducible research - preparing code to be usable by you and others in
the future",https://coderefinery.github.io/reproducible-research/,"In this lesson we will explore different methods and tools for better reproducibility in research software and data. We will demonstrate how version control, workflows, containers, and package managers can be used to record reproducible environments and computational steps for our future selves and others.","readable code, organise software project, reproducible environment",,,,,,,,,,,,,,,,,
Top 10 FAIR Data & Software Things,General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,Top 10 FAIR Data & Software Things,https://librarycarpentry.github.io/Top-10-FAIR/2018/12/01/research-software/,Brief guides for different disciplines that can be used by the research community to understand how they can make their research (data and software) more FAIR,fair,,,,,,,,,,,,,,,,,
"The FAIR Cookbook, online recipes for life scientists that help make and keep data FAIR",General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,"The FAIR Cookbook, online recipes for life scientists that help make and keep data FAIR",https://faircookbook.elixir-europe.org/content/home.html,"An online, open and live resource for the Life Sciences with recipes that help you to make and keep data Findable, Accessible, Interoperable and Reusable; in one word FAIR. ",fair,,,,,,,,,,,,,,,,,
10 easy things to make your research software FAIR,General,,"FAIRness, Maintainability","individual training resource (course, handbook, article, guide, tutorial)",,10 easy things to make your research software FAIR,https://librarycarpentry.org/Top-10-FAIR/files/poster_10things_FAIRsoftware.pdf,,fair,,,,,,,,,,,,,,,,,
"Cookiecutter software project template to kickstart a modern best-practice
Python project with FAIR metadata",General,,FAIRness,"individual training resource (course, handbook, article, guide, tutorial)",,"Cookiecutter software project template to kickstart a modern best-practice
Python project with FAIR metadata",https://github.com/Materials-Data-Science-and-Informatics/fair-python-cookiecutter,An opinionated cookiecutter template to kickstart a modern best-practice Python project with FAIR metadata. ,"fair, metadata, python, programming language, codemeta, cff, reuse, citation",,,,,,,,,,,,,,,,,
Course: ResOps - Cloud-native Tools and Technology for Researchers,General,,"Compatibility, Maintainability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,Course: ResOps - Cloud-native Tools and Technology for Researchers,https://tsi-ccdoc.readthedocs.io/en/master/ResOps/2020/Agenda-2020.html#introduction,"This course provides some background to cloud computing and practical experience in building, deploying and running applications in cloud platforms - OpenStack, Google, Amazon and Azure.","reproducible environments, cloud, docker, kubernetes, version control, gitlab",,,,,,,,,,,,,,,,,
Introduction to the Command Line for Metagenomics,Life sciences,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to the Command Line for Metagenomics,https://carpentries-lab.github.io/metagenomics-shell/,,,,,,,,,,,,,,,,,,,
Introduction to R,General,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,Introduction to R,https://carpentries-lab.github.io/metagenomics-R/,,"programming language, R, metagenomics",,,,,,,,,,,,,,,,,
Tutorial: Workflows - Combining Tools for Data Analysis,Life sciences,,"FAIRness, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,Tutorial: Workflows - Combining Tools for Data Analysis,https://www.ebi.ac.uk/training/online/courses/workflows-combining-tools-for-data-analysis/,,"computational workflows, data analysis",,,,,,,,,,,,,,,,,
ENSEMBL REST API course,Life sciences,,Functional suitability,"individual training resource (course, handbook, article, guide, tutorial)",,ENSEMBL REST API course,https://www.ebi.ac.uk/training/online/courses/ensembl-rest-api/,,,,,,,,,,,,,,,,,,,
"""Ten Reproducible Research Things"" Tutorial",General,,"FAIRness, Flexibility, Maintainability, Reliability, Sustainability","individual training resource (course, handbook, article, guide, tutorial)",,"""Ten Reproducible Research Things"" Tutorial",https://guereslib.github.io/ten-reproducible-research-things/,"This self-paced tutorial outlines ten steps to make your research reproducible, beginning with data quality, documentation, management of sensitive data, through to the publication of datasets. The aim is to move towards reproducible research regardless of your current skills, and includes useful resources for beginners, intermediate and advanced learners.","version control, documentation",,,,,,,,,,,,,,,,,
